No,JenisBahanBakar,MassaJenisUdara(kg/m3),Suhu(K),Tekanan(atm),HasilUjiEmisiCO(ppm),AFR(g/g),KonsentrasiCOdiUdara(g/m3),BesaranEmisiCO(g/kg)
1,Pertalite,1.293,302,0.9948,20000,13.9,22.458,241.424
2,Pertalite,1.293,305,1.0047,48200,13.2,54.176,553.071
3,Pertalite,1.293,297,1.0096,3600,22.4,4.174,72.317
4,Pertalite,1.293,300,0.9968,2800,17.9,3.171,43.903
5,Pertalite,1.293,301,0.9988,48500,14.2,54.858,602.457
6,Pertalite,1.293,304,1.0067,54000,13.9,60.974,655.484
7,Pertalite,1.293,305,0.9948,98900,12.0,109.961,1020.523
8,Pertalite,1.293,302,0.9948,54800,13.0,61.534,618.672
9,Pertalite,1.293,303,0.9919,34500,13.3,38.497,395.984
10,Pertalite,1.293,298,0.9938,99900,11.3,113.568,992.515
11,Pertalite,1.293,303,0.9938,62400,12.3,69.768,663.682
12,Pertalite,1.293,305,0.9948,1000,17.5,1.112,15.048
13,Pertalite,1.293,305,0.9948,23600,19.5,26.240,395.724
14,Pertalite,1.293,305,0.9928,8700,15.2,9.654,113.487
15,Pertalite,1.293,300,0.9909,3000,18.1,3.378,47.282
16,Pertalite,1.293,304,1.0037,10700,16.7,12.058,155.741
17,Pertalite,1.293,301,1.0076,2400,18.5,2.742,39.238
18,Pertalite,1.293,304,0.9958,93700,11.2,104.833,908.065
19,Pertalite,1.293,304,0.9919,68400,12.3,76.073,723.665
20,Pertalite,1.293,302,0.9938,6500,15.0,7.292,84.588
21,Pertalite,1.293,303,1.0057,35900,14.7,40.671,462.381
22,Pertalite,1.293,299,0.9948,47300,13.3,53.645,551.801
23,Pertalite,1.293,300,0.9958,3700,17.6,4.187,56.986
24,Pertalite,1.293,303,1.0057,64800,13.6,73.411,772.151
25,Pertalite,1.293,300,1.0067,37200,14.6,42.635,481.421
26,Pertalite,1.293,302,1.0067,72000,15.6,81.810,987.036
27,Pertalite,1.293,301,1.0106,68300,14.3,78.143,864.227
28,Pertalite,1.293,305,1.0057,79200,13.8,89.136,951.334
29,Pertalite,1.293,303,0.9948,87700,11.6,98.152,880.560
30,Pertalite,1.293,302,1.0057,80100,14.0,91.075,986.120
31,Pertalite,1.293,299,1.0076,55500,14.1,63.821,695.958
32,Pertalite,1.293,305,0.9958,5100,15.4,5.676,67.603
33,Pertalite,1.293,304,0.9958,4800,15.5,5.370,64.377
34,Pertalite,1.293,303,0.9938,4600,14.7,5.143,58.472
35,Pertalite,1.293,302,1.0057,6800,14.6,7.724,87.217
36,Pertalite,1.293,302,1.0057,7600,14.8,8.633,98.813
37,Pertalite,1.293,303,0.9899,5400,14.7,6.014,68.368
