BahanBakar,JenisKendaraan,HasilUjiEmisi
Bensin,SUV,0.02
Bensin,MPV/ MINI BUS,0.19
Bensin,MPV/ MINI BUS,0.01
Bensin,HATCHBACK,0.03
Bensin,MPV/ MINI BUS,0.38
Bensin,HATCHBACK,0.23
Bensin,PICK UP,0.02
Bensin,SUV,0.01
Bensin,MPV/ MINI BUS,0.07
Bensin,MPV/ MINI BUS,0.45
Bensin,MPV/ MINI BUS,0.02
Bensin,MPV/ MINI BUS,0.1
Bensin,MPV/ MINI BUS,0.07
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.02
Bensin,HATCHBACK,0.02
Bensin,MPV/ MINI BUS,0.55
Bensin,PICK UP,0.02
Bensin,SUV,0.02
Bensin,SEDAN,0.01
Bensin,MPV/ MINI BUS,0.03
Bensin,MPV/ MINI BUS,0.03
Bensin,MPV/ MINI BUS,0.01
Bensin,HATCHBACK,0.71
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.02
Bensin,MPV/ MINI BUS,0.24
Bensin,SUV,0.02
Bensin,PICK UP,0.12
Bensin,TRUCK,0.4
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.4
Bensin,MPV/ MINI BUS,0.03
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.01
Bensin,SEDAN,0.22
Bensin,SUV,0.01
Bensin,MPV/ MINI BUS,0.02
Bensin,MPV/ MINI BUS,0.01
Bensin,HATCHBACK,0.01
Bensin,MPV/ MINI BUS,0.03
Bensin,MPV/ MINI BUS,0.02
Bensin,MPV/ MINI BUS,0.09
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.218
Bensin,MPV/ MINI BUS,0.03
Bensin,MPV/ MINI BUS,0.054
Bensin,JEEP,0.02
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.9
Bensin,MPV/ MINI BUS,0.12
Bensin,SUV,0.08
Bensin,PICK UP,0.31
Bensin,MPV/ MINI BUS,0.02
Bensin,MPV/ MINI BUS,0.03
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.01
Bensin,HATCHBACK,0.04
Bensin,HATCHBACK,0.01
Bensin,MPV/ MINI BUS,0.06
Bensin,MPV/ MINI BUS,0.5
Bensin,MPV/ MINI BUS,0.04
Bensin,MPV/ MINI BUS,0.01
Bensin,HATCHBACK,0.01
Bensin,MPV/ MINI BUS,0.02
Bensin,SUV,0.01
Bensin,SUV,0.02
Bensin,MPV/ MINI BUS,0.5
Bensin,PICK UP,0.23
Bensin,MPV/ MINI BUS,0.25
Bensin,SUV,0.03
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.07
Bensin,MPV/ MINI BUS,0.11
Bensin,HATCHBACK,0.01
Bensin,MPV/ MINI BUS,0.38
Bensin,SUV,0.36
Bensin,MPV/ MINI BUS,0.02
Bensin,MPV/ MINI BUS,0.34
Bensin,HATCHBACK,0.08
Bensin,MPV/ MINI BUS,0.01
Bensin,HATCHBACK,0.01
Bensin,MPV/ MINI BUS,0.5
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.68
Bensin,MPV/ MINI BUS,0.5
Bensin,MPV/ MINI BUS,0.08
Bensin,MPV/ MINI BUS,0.02
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.3
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.18
Bensin,MPV/ MINI BUS,0.25
Bensin,MPV/ MINI BUS,0.18
Bensin,MPV/ MINI BUS,0.02
Bensin,MPV/ MINI BUS,0.04
Bensin,SUV,0.69
Bensin,MPV/ MINI BUS,0.04
Bensin,SEDAN,0.02
Bensin,MPV/ MINI BUS,0.03
Bensin,HATCHBACK,0.02
Bensin,MPV/ MINI BUS,0.59
Bensin,SUV,0.01
Bensin,MPV/ MINI BUS,0.27
Bensin,MPV/ MINI BUS,0.01
Bensin,SEDAN,3.8
Bensin,MPV/ MINI BUS,0.02
Bensin,MPV/ MINI BUS,0.01
Bensin,MPV/ MINI BUS,0.19
Bensin,MPV/ MINI BUS,0.02
Bensin,MPV/ MINI BUS,0.3
Bensin,MPV/ MINI BUS,0.65
Bensin,SEDAN,1.37
Bensin,MPV/ MINI BUS,0.03
Bensin,MPV/ MINI BUS,0.06
Bensin,MPV/ MINI BUS,0.02
